StationID,Date Time,Soil Temp (C) Avg,Soil Temp (C) Min,Soil Temp (C) Max,Temp @ 60cm (C) Avg,Temp @ 60cm (C) Min,Temp @ 60cm (C) Max,Temp @ 2m (C) Avg,Temp @ 2m (C) Min,Temp @ 2m (C) Max,Temp @ 10m (C) Avg,Temp @ 10m (C) Min,Temp @ 10m (C) Max,Relative Humidity (%) Avg,Dew Point Temp (C) Avg,Dew Point Temp (C) Min,Dew Point Temp (C) Max,Rainfall Amount (in) Sum,Wind Speed (mph) Avg,Wind Speed (mph) Max,Wind Direction (deg) Avg,Solar Radiation (w/m2) Avg,Solar Radiation (MJ/m2) Sum,ETo Grass (mm) Avg,Number of Observations
260,2023-01-01 00:00:00,16.50,15.43,18.09,18.99,14.01,25.80,19.21,15.21,24.84,19.22,15.60,24.42,92.66,17.91,14.69,21.17,0.00,2.23,7.62,200.38,75.95,6.562296,1.43,96
260,2023-01-02 00:00:00,16.98,15.42,18.96,18.52,12.16,28.34,18.70,12.75,26.90,18.64,13.03,26.22,88.58,16.57,12.32,20.66,0.04,3.09,6.45,111.66,117.73,10.171782,1.58,96
260,2023-01-03 00:00:00,17.50,16.18,18.86,21.25,15.58,29.06,21.41,16.53,27.42,21.16,16.70,26.44,84.54,18.46,16.04,20.08,0.00,5.78,11.33,179.55,110.32,9.531315,1.70,96
260,2023-01-04 00:00:00,17.90,17.37,18.64,20.47,17.89,26.50,20.75,18.55,26.39,20.47,18.54,25.80,92.46,19.44,17.92,22.45,0.56,6.21,16.88,198.17,43.28,3.739410,1.40,96
260,2023-01-05 00:00:00,17.49,16.48,18.43,17.46,8.89,23.62,17.97,10.25,23.30,18.20,12.09,22.59,80.77,14.12,9.30,18.55,0.00,4.73,9.12,262.22,102.98,8.897877,1.46,96
260,2023-01-06 00:00:00,15.10,13.53,16.57,9.91,2.44,19.34,10.82,3.44,18.56,11.72,4.22,18.02,68.85,4.14,0.32,9.52,0.00,3.66,10.04,269.94,136.85,11.823768,1.16,96
260,2023-01-07 00:00:00,13.93,12.05,16.01,8.78,-0.08,21.23,9.34,0.93,20.43,9.75,1.43,20.20,74.13,3.77,0.40,7.95,0.00,2.05,6.19,109.18,134.07,11.583918,1.19,96
260,2023-01-08 00:00:00,14.01,11.93,16.23,12.53,0.86,24.94,12.89,2.21,23.74,13.27,2.79,23.01,79.15,8.86,1.68,14.20,0.00,3.18,9.28,164.42,123.56,10.675755,1.41,96
260,2023-01-09 00:00:00,15.13,13.73,16.91,13.63,5.78,22.79,14.26,7.24,22.44,14.73,8.32,21.70,78.98,9.93,4.36,14.99,0.00,3.56,10.95,237.26,132.75,11.469357,1.36,96
260,2023-01-10 00:00:00,14.41,13.04,16.05,9.72,3.30,20.13,10.30,4.66,19.02,10.81,5.39,18.70,78.15,5.90,4.08,10.47,0.00,2.35,8.56,205.00,111.48,9.631854,1.23,96
260,2023-01-11 00:00:00,13.94,11.96,16.15,11.34,1.01,25.18,12.05,2.34,23.97,12.74,3.07,23.42,74.65,6.34,1.83,12.40,0.00,2.02,6.59,203.01,133.92,11.570985,1.35,96
260,2023-01-12 00:00:00,14.54,12.92,16.36,15.82,5.85,26.05,16.42,7.76,24.95,16.94,9.23,24.05,68.43,9.37,6.11,14.85,0.00,6.38,11.87,195.54,136.48,11.791557,1.57,96
260,2023-01-13 00:00:00,15.01,13.53,15.65,12.45,4.70,17.01,12.49,5.01,17.33,12.35,5.13,17.12,80.38,9.12,0.60,15.85,0.48,8.05,13.94,289.86,65.62,5.669478,1.38,96
260,2023-01-14 00:00:00,12.26,10.88,13.50,3.81,-1.91,10.41,4.05,-1.01,9.67,4.46,-0.31,9.48,75.57,-0.24,-2.06,1.45,0.00,6.40,11.91,300.93,139.75,12.074454,0.91,96
260,2023-01-15 00:00:00,11.20,9.23,13.47,3.59,-4.42,15.92,4.07,-3.66,14.85,4.78,-2.51,14.78,74.18,-1.08,-4.41,1.98,0.00,2.55,5.85,213.54,136.98,11.835171,1.04,96
260,2023-01-16 00:00:00,11.48,9.29,13.97,6.88,-3.38,21.32,7.39,-2.46,19.41,7.95,-2.01,19.08,70.27,0.81,-3.04,6.25,0.00,2.04,5.34,193.44,142.19,12.284829,1.19,96
260,2023-01-17 00:00:00,12.06,9.96,14.21,11.81,-1.90,24.65,12.21,-0.28,23.14,12.49,0.69,22.36,70.74,5.43,-2.69,13.49,0.00,5.24,11.79,190.38,136.81,11.820321,1.51,96
260,2023-01-18 00:00:00,14.16,13.11,15.76,17.17,9.74,25.45,17.64,11.31,24.33,17.87,12.31,23.85,81.16,14.15,10.66,16.67,0.00,3.64,7.65,189.33,70.68,6.106464,1.57,96
260,2023-01-19 00:00:00,14.78,13.12,16.47,18.38,9.06,27.14,18.85,10.37,26.41,19.18,11.70,25.43,85.55,16.17,9.79,19.95,0.00,7.13,15.99,203.61,102.16,8.826642,1.82,96
260,2023-01-20 00:00:00,16.29,15.35,17.70,16.13,6.62,24.26,16.58,8.13,23.71,16.71,9.13,22.99,73.21,10.62,5.55,18.28,0.00,3.55,9.27,245.79,133.71,11.552373,1.59,96
260,2023-01-21 00:00:00,14.42,14.03,15.60,11.09,6.21,12.46,11.23,7.60,12.34,11.24,8.66,12.32,82.19,8.14,4.87,11.07,0.16,3.36,6.11,94.94,22.56,1.949004,1.06,96
260,2023-01-22 00:00:00,15.30,13.90,17.04,18.45,11.65,26.88,18.49,11.69,26.13,18.18,11.50,25.15,90.34,16.79,11.14,21.24,0.07,8.30,17.63,191.72,87.41,7.552251,1.86,96
260,2023-01-23 00:00:00,15.82,14.77,16.85,12.85,4.48,17.88,13.14,6.38,17.07,13.25,8.08,16.70,72.32,7.78,3.85,13.61,0.01,4.85,11.43,237.98,129.83,11.217384,1.39,96
260,2023-01-24 00:00:00,14.00,12.00,15.85,11.30,1.25,21.07,11.60,2.60,20.66,11.69,2.97,20.10,80.36,8.08,1.36,13.20,0.00,5.22,10.43,73.59,117.42,10.144710,1.60,96
