year,week,county,cumulative_cases,inferred_new_cases
2022,1,Broward,2,2
2022,1,Collier,1,1
2022,1,Miami-Dade,61,61
2022,1,Volusia,1,1
2022,28,Miami-Dade,1,-60
2022,29,Miami-Dade,1,0
2022,30,Miami-Dade,1,0
2022,31,Miami-Dade,1,0
2022,32,Miami-Dade,1,0
2022,33,Miami-Dade,1,0
2022,34,Collier,1,1
2022,34,Miami-Dade,1,0
2022,35,Collier,1,0
2022,35,Miami-Dade,1,0
2022,36,Collier,1,0
2022,36,Miami-Dade,1,0
2022,37,Collier,1,0
2022,37,Miami-Dade,1,0
2022,38,Collier,1,0
2022,38,Miami-Dade,1,0
2022,39,Collier,1,0
2022,39,Miami-Dade,1,0
2022,40,Collier,1,0
2022,40,Miami-Dade,1,0
2022,41,Collier,1,0
2022,41,Miami-Dade,1,0
2022,42,Broward,2,2
2022,42,Collier,1,0
2022,42,Miami-Dade,31,30
2022,42,Volusia,1,1
2022,43,Broward,2,0
2022,43,Collier,1,0
2022,43,Miami-Dade,32,1
2022,43,Volusia,1,0
2022,44,Broward,2,0
2022,44,Collier,1,0
2022,44,Miami-Dade,34,2
2022,44,Volusia,1,0
2022,45,Broward,2,0
2022,45,Collier,1,0
2022,45,Miami-Dade,37,3
2022,45,Volusia,1,0
2022,46,Broward,2,0
2022,46,Collier,1,0
2022,46,Miami-Dade,44,7
2022,46,Volusia,1,0
2022,47,Broward,2,0
2022,47,Collier,1,0
2022,47,Miami-Dade,44,0
2022,47,Volusia,1,0
2022,48,Broward,2,0
2022,48,Collier,1,0
2022,48,Miami-Dade,45,1
2022,48,Volusia,1,0
2022,49,Broward,2,0
2022,49,Collier,1,0
2022,49,Miami-Dade,51,6
2022,49,Volusia,1,0
2022,50,Broward,2,0
2022,50,Collier,1,0
2022,50,Miami-Dade,55,4
2022,50,Volusia,1,0
2022,51,Broward,2,0
2022,51,Collier,1,0
2022,51,Miami-Dade,59,4
2022,51,Volusia,1,0
2022,52,Broward,2,0
2022,52,Collier,1,0
2022,52,Miami-Dade,61,2
2022,52,Volusia,1,0
2023,5,Miami-Dade,1,1
2023,6,Miami-Dade,1,0
2023,7,Miami-Dade,1,0
2023,8,Miami-Dade,1,0
2023,9,Miami-Dade,1,0
2023,10,Miami-Dade,1,0
2023,11,Miami-Dade,1,0
2023,12,Miami-Dade,1,0
2023,13,Miami-Dade,1,0
2023,14,Miami-Dade,1,0
2023,15,Miami-Dade,1,0
2023,16,Miami-Dade,1,0
2023,17,Miami-Dade,1,0
2023,18,Miami-Dade,1,0
2023,19,Miami-Dade,1,0
2023,20,Miami-Dade,1,0
2023,21,Miami-Dade,1,0
2023,22,Miami-Dade,1,0
2023,23,Miami-Dade,1,0
2023,24,Miami-Dade,1,0
2023,25,Miami-Dade,1,0
2023,26,Miami-Dade,1,0
2023,27,Miami-Dade,1,0
2023,28,Miami-Dade,1,0
2023,29,Miami-Dade,1,0
2023,30,Miami-Dade,1,0
2023,31,Broward,2,2
2023,31,Miami-Dade,8,7
2023,32,Broward,2,0
2023,32,July (6). Ten Cases Have Been Serotyped By Pcr. Please See The Table Below For A Breakdown Of Cases By,1,1
2023,32,June,3,3
2023,32,March,1,1
2023,32,Miami-Dade (9) With Onsets In January,1,1
2023,33,Broward,2,0
2023,33,Hardee,1,1
2023,33,Miami-Dade,11,11
2023,33,Polk,1,1
2023,34,Broward,2,0
2023,34,Hardee,1,0
2023,34,Miami-Dade,12,1
2023,34,Polk,1,0
2023,35,Broward,3,1
2023,35,Hardee,1,0
2023,35,Miami-Dade,14,2
2023,35,Polk,1,0
2023,36,Broward,3,0
2023,36,Hardee,1,0
2023,36,Miami-Dade,14,0
2023,36,Polk,1,0
2023,37,Broward,3,0
2023,37,Hardee,1,0
2023,37,Miami-Dade,18,4
2023,37,Polk,1,0
2023,38,Broward,3,0
2023,38,Hardee,1,0
2023,38,Miami-Dade,26,8
2023,38,Polk,1,0
2023,39,Broward,3,0
2023,39,Hardee,1,0
2023,39,Miami-Dade,33,7
2023,39,Polk,1,0
2023,40,Broward,3,0
2023,40,Hardee,1,0
2023,40,Miami-Dade,47,14
2023,40,Palm Beach,1,1
2023,40,Polk,1,0
2023,41,Broward,4,1
2023,41,Hardee,1,0
2023,41,Miami-Dade,61,14
2023,41,Palm Beach,1,0
2023,41,Polk,1,0
2023,42,Broward,4,0
2023,42,Hardee,1,0
2023,42,Miami-Dade,71,10
2023,42,Palm Beach,1,0
2023,42,Polk,1,0
2023,43,Broward,4,0
2023,43,Hardee,1,0
2023,43,Miami-Dade,91,20
2023,43,Palm Beach,1,0
2023,43,Polk,1,0
2023,44,Broward,4,0
2023,44,Hardee,1,0
2023,44,Miami-Dade,103,12
2023,44,Palm Beach,1,0
2023,44,Polk,1,0
2023,45,Broward,4,0
2023,45,Hardee,1,0
2023,45,Miami-Dade,121,18
2023,45,Palm Beach,1,0
2023,45,Polk,1,0
2023,46,Broward,4,0
2023,46,Hardee,3,2
2023,46,Miami-Dade,133,12
2023,46,Palm Beach,1,0
2023,46,Polk,1,0
2023,47,Broward,4,0
2023,47,Hardee,9,6
2023,47,Miami-Dade,139,6
2023,47,Palm Beach,1,0
2023,47,Polk,1,0
2023,48,Broward,4,0
2023,48,Hardee,11,2
2023,48,Miami-Dade,143,4
2023,48,Palm Beach,1,0
2023,48,Polk,1,0
2023,49,Broward,4,0
2023,49,Hardee,11,0
2023,49,Miami-Dade,150,7
2023,49,Palm Beach,1,0
2023,49,Polk,1,0
2023,50,Broward,4,0
2023,50,Hardee,12,1
2023,50,Miami-Dade,154,4
2023,50,Palm Beach,1,0
2023,50,Polk,1,0
2023,51,Broward,4,0
2023,51,Hardee,13,1
2023,51,Miami-Dade,156,2
2023,51,Palm Beach,1,0
2023,51,Polk,1,0
2023,52,Broward,4,0
2023,52,Hardee,14,1
2023,52,Miami-Dade,156,0
2023,52,Palm Beach,1,0
2023,52,Polk,1,0
2024,4,Miami-Dade,1,1
2024,4,Pasco,1,1
2024,5,Miami-Dade,1,0
2024,5,Pasco,1,0
2024,6,Miami-Dade,1,0
2024,6,Pasco,1,0
2024,7,Miami-Dade,1,0
2024,7,Pasco,1,0
2024,8,Miami-Dade,3,2
2024,8,Pasco,1,0
2024,9,Miami-Dade,3,0
2024,9,Pasco,1,0
2024,10,Miami-Dade,3,0
2024,10,Pasco,1,0
2024,11,Miami-Dade,3,0
2024,11,Pasco,1,0
2024,12,Miami-Dade,3,0
2024,12,Pasco,1,0
2024,13,Miami-Dade,4,1
2024,13,Pasco,1,0
2024,14,Miami-Dade,4,0
2024,14,Pasco,1,0
2024,15,Miami-Dade,4,0
2024,15,Pasco,1,0
2024,16,Miami-Dade,4,0
2024,16,Pasco,1,0
2024,17,Miami-Dade,5,1
2024,17,Pasco,1,0
2024,18,Miami-Dade,5,0
2024,18,Pasco,1,0
2024,19,Miami-Dade,5,0
2024,19,Pasco,1,0
2024,20,Miami-Dade,6,1
2024,20,Pasco,1,0
2024,21,Miami-Dade,6,0
2024,21,Pasco,1,0
2024,22,Miami-Dade,6,0
2024,22,Pasco,1,0
2024,23,Miami-Dade,6,0
2024,23,Pasco,1,0
2024,24,Miami-Dade,6,0
2024,24,Pasco,1,0
2024,25,Hillsborough,1,1
2024,25,Miami-Dade,6,0
2024,25,Pasco,1,0
2024,26,Hillsborough,1,0
2024,26,Miami-Dade,6,0
2024,26,Monroe,2,2
2024,26,Pasco,1,0
2024,27,Hillsborough,1,0
2024,27,Miami-Dade,6,0
2024,27,Monroe,2,0
2024,27,Pasco,1,0
2024,28,Hillsborough,2,1
2024,28,Miami-Dade,9,3
2024,28,Monroe,2,0
2024,28,Pasco,1,0
2024,29,Hillsborough,2,0
2024,29,Miami-Dade,11,2
2024,29,Monroe,2,0
2024,29,Pasco,1,0
2024,30,Hillsborough,2,0
2024,30,Miami-Dade,11,0
2024,30,Monroe,3,1
2024,30,Pasco,1,0
2024,31,Hillsborough,2,0
2024,31,Miami-Dade,12,1
2024,31,Monroe,3,0
2024,31,Pasco,1,0
2024,32,Hillsborough,2,0
2024,32,Miami-Dade,12,0
2024,32,Monroe,3,0
2024,32,Pasco,1,0
2024,33,Hillsborough,2,0
2024,33,Manatee,1,1
2024,33,Miami-Dade,16,4
2024,33,Monroe,3,0
2024,33,Pasco,1,0
2024,34,Hillsborough,2,0
2024,34,Manatee,1,0
2024,34,Miami-Dade,16,0
2024,34,Monroe,3,0
2024,34,Orange,2,2
2024,34,Pasco,1,0
