StationID,Date Time,Soil Temp (C) Avg,Soil Temp (C) Min,Soil Temp (C) Max,Temp @ 60cm (C) Avg,Temp @ 60cm (C) Min,Temp @ 60cm (C) Max,Temp @ 2m (C) Avg,Temp @ 2m (C) Min,Temp @ 2m (C) Max,Temp @ 10m (C) Avg,Temp @ 10m (C) Min,Temp @ 10m (C) Max,Relative Humidity (%) Avg,Dew Point Temp (C) Avg,Dew Point Temp (C) Min,Dew Point Temp (C) Max,Rainfall Amount (in) Sum,Wind Speed (mph) Avg,Wind Speed (mph) Max,Wind Direction (deg) Avg,Solar Radiation (w/m2) Avg,Solar Radiation (MJ/m2) Sum,ETo Grass (mm) Avg,Number of Observations
260,1/1/24 0:00,12.18,10.56,13.84,10.63,0.25,21.03,12.1,3.26,21.33,11.86,3.59,19.62,82.05,8.78,2.47,14.33,0,4.11,11.67,224.76,139.7,12.069774,1.23,96
260,1/2/24 0:00,12.55,11.2,13.92,7.83,-0.35,16.07,8.87,2.09,15.79,8.45,2.46,14.33,73.17,3.94,0.45,10.66,0,3.5,6.61,148.2,169.47,14.489514,0.94,95
260,1/3/24 0:00,11.86,10.33,13.25,9.01,-0.46,21.15,9.81,1.09,18.73,9.28,1.34,17.51,85.25,7.18,0.31,12.08,0.01,2.87,6.89,112.08,116.14,10.034334,1.19,96
260,1/4/24 0:00,12.98,11.93,14.4,8.96,0.89,17.28,9.89,3.54,17.17,9.45,3.86,15.97,80.44,6.14,2.67,10.63,0.13,4.12,7.94,105.85,167.05,14.432814,1.03,96
260,1/5/24 0:00,12.17,10.48,13.84,11.42,-0.37,22.04,12.52,1.58,22.23,12.02,2.31,20.54,78.28,8.43,0.78,13.95,0,5.96,12.32,84.35,153.95,13.30101,1.31,96
260,1/6/24 0:00,14.42,13.15,15.92,18.63,12.82,25.26,19.4,13.65,25.03,18.71,13.29,23.83,84.15,16.51,12.46,20.9,0.62,9.02,16.07,211.91,87.71,7.578063,1.63,96
260,1/7/24 0:00,13.89,13.23,14.66,10.55,5.49,15.34,11.33,6.61,15.05,10.75,6.7,13.35,84.84,8.72,5.47,12.61,0,4.31,8.55,270.48,109.92,9.496845,1.1,96
260,1/8/24 0:00,12.52,12.04,13.29,10.63,4.32,15.56,11.49,5.75,16.51,10.86,5.76,15.91,87.55,9.48,4.47,15.07,0.02,5.08,11.17,88.42,27.93,2.413323,1.31,96
260,1/9/24 0:00,13.98,12.84,15.17,16.95,12.63,23.41,17.87,13.4,24.55,17.26,12.84,23.77,89.71,16.13,11.04,20.59,2,9.81,21.56,189.02,18.13,1.533879,1.57,96
260,1/10/24 0:00,12.94,11.74,13.99,9.64,3.68,15.39,10.47,5.38,15.6,9.92,5.34,14.08,69.41,4.79,2.21,10.64,0,7.2,16.44,259.54,166.5,14.385438,1.1,96
260,1/11/24 0:00,12.23,10.85,13.47,9.78,2.35,18.01,10.75,4.11,17.39,10.23,4.11,16.27,84.51,8.07,3.26,12.1,0,2.38,5.24,117.65,103,8.899218,1.19,96
260,1/12/24 0:00,13.2,12.15,15.25,17.05,8.46,23.53,17.82,9.76,24.33,17.14,9.56,23.66,91.58,16.43,8.78,22.38,0.01,7.37,15.41,156.25,32.34,2.794599,1.68,96
260,1/13/24 0:00,14.65,13.22,15.51,12.66,3.25,22.08,13.43,5.13,22.78,13.01,5.23,22.28,65.3,6.32,-3.07,21.29,0,6.19,13.31,263.43,99.94,8.634393,1.54,96
260,1/14/24 0:00,12.52,11.86,13.38,7.38,2.01,16.1,8.34,4.19,15.56,8.01,4.7,14.17,73.44,3.27,-0.22,5.4,0,2.83,6.18,120.1,107.71,9.305838,1.14,96
260,1/15/24 0:00,12.17,10.66,13.87,12.29,1.88,22.27,13.24,3.49,22.03,12.99,3.67,21.11,88.06,11.21,2.63,18.3,0,2.53,6.35,131.65,84.43,7.294968,1.46,96
260,1/16/24 0:00,14.06,13.52,14.72,14.67,4.16,19.11,15.25,4.97,19.72,14.68,4.49,18.93,93.07,14.14,2.56,18.76,0.46,4.65,8.91,257.28,27.8,2.40183,1.52,96
260,1/17/24 0:00,12.08,10.72,13.72,3.4,-1.7,11.91,4.15,-0.95,12.01,3.71,-1.54,10.34,68.87,-1.67,-4.17,2.33,0,4.41,6.61,172.22,164.98,14.2542,0.97,96
260,1/18/24 0:00,10.73,9.62,11.59,7.1,-0.71,14.65,7.9,0.73,14.89,7.25,1.06,13.7,81.7,4.92,-1.81,10.67,0,2.98,6.81,139.85,59.19,5.113899,1.26,96
260,1/19/24 0:00,11.9,10.84,13.46,12.39,5.79,20.77,13.4,7.35,21.09,12.99,7.26,19.98,75.81,8.68,1.23,16.35,0,4.08,8.22,266.01,101.58,8.776548,1.48,96
260,1/20/24 0:00,11.33,10,12.6,5.81,-0.81,11.9,6.44,1.05,11.61,5.8,0.98,10.54,52.95,-3.03,-6.5,1.04,0,4.77,8.66,236.56,182.16,15.738975,1.03,96
260,1/21/24 0:00,9.8,8.36,11.16,3.1,-2.52,10.26,3.67,-1.55,10.51,2.85,-2.02,8.77,60.37,-3.5,-8.82,0.89,0,6.27,10.81,46.69,177.67,15.350391,1.04,96
260,1/22/24 0:00,10,8.58,11.59,10.19,0.62,20.05,10.93,1.7,20.14,10.17,1.22,18.71,81.02,7.6,0.02,12.94,0,5.14,11.67,67.81,99.62,8.606826,1.56,96
260,1/23/24 0:00,12.31,11.48,13.39,16.75,12.97,22.04,17.47,13.97,22.42,16.83,13.13,21.56,86.62,15.13,12.64,17.37,0.01,4.76,8.44,97.48,56.98,4.923378,1.46,96
260,1/24/24 0:00,14.61,13.22,16.49,21.08,15.99,27.04,21.67,17.51,26.89,21.04,17.53,25.5,84.71,18.85,16.47,20.56,0,5.82,12.36,118.02,143.75,12.419739,2.08,96
260,1/25/24 0:00,16.47,15.39,17.88,22.67,18.75,29.43,23.02,19.79,28.38,22.41,19.16,27.06,83.83,19.97,18.69,21.53,0,5.1,8.29,187.27,127.5,11.016396,2.11,96
260,1/26/24 0:00,17.54,16.83,18.61,21.27,16.19,27.21,21.98,17.73,26.58,21.41,17.74,25.56,88.31,19.89,16.69,21.98,1.56,4.86,12.38,207.44,106.37,9.190764,1.88,96
260,1/27/24 0:00,17.49,16.36,18.58,21.37,15.45,29.13,21.91,16.91,28.06,21.47,17.11,26.72,84.43,18.97,15.94,21.47,0,6.13,14.71,174.33,136.1,11.758959,2.16,96
260,1/28/24 0:00,17.44,16.09,18.14,16.51,10.15,20.44,17.04,11.14,21.09,16.28,10.72,20.46,77.83,12.96,6,19.79,0,9.04,14.2,276.44,174.57,15.082812,1.89,96
260,1/29/24 0:00,14.92,13.61,16.24,10.18,3.36,17.47,11.07,5.92,17.19,10.46,6.05,16.07,71.55,5.79,4.73,7.09,0,5.46,11.09,293.01,186,16.070283,1.59,96
260,1/30/24 0:00,13.76,12.07,15.45,9.91,1.59,19.29,10.88,3.16,19.08,10.41,3.53,17.7,72.77,5.43,2.34,9.24,0,3.66,9.05,230.81,193.02,16.676874,1.61,96
260,1/31/24 0:00,13.39,12.01,14.98,10.56,3.2,19.57,11.89,5.87,19.74,11.76,7,18.14,69.5,5.38,2.52,10.55,0,5.07,16.17,259.63,196.65,16.990614,,96
320,1/1/24 0:00,16.41,14.51,18.43,13.7,5,21.88,13.22,5.34,20.53,13.85,7.22,20.1,83.75,10.21,5.27,13.52,0,3.2,8.44,196.75,157.93,13.645314,1.15,96
320,1/2/24 0:00,17.14,15.75,18.55,12.68,7.63,18.63,11.92,7.68,17,12.25,8.43,16.43,72.21,6.49,1.81,12.99,0,4.87,7.65,192.86,172.15,14.87349,1.09,96
320,1/3/24 0:00,16.74,15.21,18.4,14.31,7.02,21.84,13.7,6.89,20.45,13.93,7.71,20.08,79.35,9.97,6.1,13.5,0,4.38,9.13,108.22,128.25,11.080629,1.27,96
320,1/4/24 0:00,17.8,17.15,18.86,14.04,8.4,18.69,13.35,8.43,16.84,13.51,9.54,16.73,78.29,9.36,4.14,14.56,0,6.17,10.73,115.52,133.41,11.526327,1.17,96
320,1/5/24 0:00,17.1,15.43,18.98,16.09,8.42,23.85,15.56,8.34,22.41,15.7,9.43,21.66,74.08,10.61,5.95,15.17,0,8.3,13.37,78.93,155.73,13.455171,1.43,96
320,1/6/24 0:00,18.96,18.12,20.32,20.8,17.88,26.47,20.29,17.39,25.46,20.29,17.62,24.94,88.77,18.32,15.26,20.82,0.35,8.56,12.68,205.69,112.24,9.697284,1.68,96
320,1/7/24 0:00,18.71,17.84,19.66,15.68,9.64,21.34,15.14,9.32,19.85,15.29,9.96,19.58,74.21,10.13,5.88,16.44,0.01,6.1,10.19,268.73,142.64,12.323961,1.31,96
320,1/8/24 0:00,16.99,16.1,17.98,14.9,8.49,19.61,14.54,8.15,19.42,14.62,8.8,19.44,79.23,10.94,5.53,15.72,0,7.46,13.6,77.34,44.77,3.867777,1.42,96
320,1/9/24 0:00,18.38,17.56,19.58,20.28,14.23,26.13,19.91,13.75,25.5,19.9,13.82,25.22,85.58,17.32,13.01,20.54,0.85,10.26,16.6,184.11,43.16,3.729231,1.65,96
320,1/10/24 0:00,17.46,16.2,18.53,13.38,7.69,18.16,12.81,8.24,16.53,13.05,9.66,16.16,72.72,7.87,5.12,13.69,0,7.05,13.91,283.47,175.88,15.19605,1.17,96
320,1/11/24 0:00,16.09,14.72,17.29,12.19,5.83,18.32,11.77,6.05,16.75,12.16,7.1,16.25,79.99,8.25,5.43,10.85,0,4.06,7.68,104.84,92.49,7.990758,1.21,96
320,1/12/24 0:00,17.65,16.59,19.39,20.22,13.85,26.25,19.71,13.37,25.58,19.74,13.57,25.18,92.17,18.37,11.05,22.52,0.43,6.34,11.95,156.35,65.82,5.686569,1.61,96
320,1/13/24 0:00,19.19,17.77,19.67,16.89,9.91,23.66,16.38,9.62,23.38,16.57,10.35,23.3,66.92,9.52,-1.06,22.06,0,7.51,13.08,237.5,91.06,7.868016,1.58,96
320,1/14/24 0:00,16.46,15.76,17.72,11,9.22,14.91,10.58,8.75,13.96,10.85,8.97,13.84,72.53,5.75,1.31,9.52,0,4.75,8.58,62.24,41.02,3.544164,1.09,96
320,1/15/24 0:00,16.58,15.25,18.4,17.22,10.25,25.21,16.59,9.98,24.23,16.67,10.32,23.58,91.04,15.09,8.22,19.78,0.08,3.7,7.91,135.07,78.25,6.760926,1.54,96
320,1/16/24 0:00,19,18.27,19.93,20.24,15.68,24.05,19.66,15.08,23.45,19.77,15.27,22.93,94.78,18.78,13.71,21.58,0.12,7.02,11.84,226.77,63.08,5.449878,1.47,96
