dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
,,,,,,,,,2022,0,2022-01-01,2022-01-01,21.5963,21.7623,22.0249,84.1721,0.0012
,,,,,,,,,2022,1,2022-01-02,2022-01-08,16.6115,16.6446,16.7125,80.5206,0.0233
2022,2,"January 9-15, 2022",2.0,9.0,0.0,0.0,2022-01-09,2022-01-15,2022,2,2022-01-09,2022-01-15,15.5394,15.6021,15.7772,76.7995,0.0437
2022,3,"January 16-22, 2022",4.0,13.0,0.0,0.0,2022-01-16,2022-01-22,2022,3,2022-01-16,2022-01-22,12.9233,12.9779,13.1705,82.0253,0.1345
2022,4,"January 23-29, 2022",2.0,15.0,0.0,0.0,2022-01-23,2022-01-29,2022,4,2022-01-23,2022-01-29,10.8748,10.8211,10.8935,78.9753,0.0424
2022,5,"January 30-February 5, 2022",1.0,16.0,0.0,0.0,2022-01-30,2022-02-05,2022,5,2022-01-30,2022-02-05,14.3669,14.4722,14.7867,73.9202,0.0339
2022,6,"February 6-12, 2022",1.0,17.0,0.0,0.0,2022-02-06,2022-02-12,2022,6,2022-02-06,2022-02-12,13.6773,13.6065,13.7682,81.7072,0.0638
2022,7,"February 13-19, 2022",3.0,20.0,0.0,0.0,2022-02-13,2022-02-19,2022,7,2022-02-13,2022-02-19,17.1682,17.1425,17.1453,74.0985,0.0325
2022,8,"February 20-26, 2022",1.0,21.0,0.0,0.0,2022-02-20,2022-02-26,2022,8,2022-02-20,2022-02-26,20.2409,20.2487,20.3841,77.0698,0.0005
2022,9,"February 27-March 5, 2022",1.0,22.0,0.0,0.0,2022-02-27,2022-03-05,2022,9,2022-02-27,2022-03-05,18.8704,18.8758,19.0409,73.444,0.0089
2022,10,"March 6-12, 2022",0.0,22.0,0.0,0.0,2022-03-06,2022-03-12,2022,10,2022-03-06,2022-03-12,21.7937,21.7619,21.6553,82.3084,0.3362
2022,11,"March 13-19, 2022",3.0,25.0,0.0,0.0,2022-03-13,2022-03-19,2022,11,2022-03-13,2022-03-19,19.2348,19.1311,19.0632,77.9714,0.2226
2022,12,"March 20-26, 2022",1.0,26.0,0.0,0.0,2022-03-20,2022-03-26,2022,12,2022-03-20,2022-03-26,20.0531,20.0271,20.028,72.9853,0.11
2022,13,"March 27-April 2, 2022",0.0,26.0,0.0,0.0,2022-03-27,2022-04-02,2022,13,2022-03-27,2022-04-02,21.0063,21.0215,21.0811,74.5203,0.2681
2022,14,"April 3-9, 2022",3.0,29.0,0.0,0.0,2022-04-03,2022-04-09,2022,14,2022-04-03,2022-04-09,21.1428,21.1032,21.0474,74.6695,0.0946
2022,15,"April 10-16, 2022",0.0,29.0,0.0,0.0,2022-04-10,2022-04-16,2022,15,2022-04-10,2022-04-16,21.2335,21.1625,21.1602,74.154,0.0694
2022,16,"April 17-23, 2022",1.0,30.0,0.0,0.0,2022-04-17,2022-04-23,2022,16,2022-04-17,2022-04-23,21.8823,21.7717,21.659,72.1796,0.0646
2022,17,"April 24-30, 2022",0.0,30.0,0.0,0.0,2022-04-24,2022-04-30,2022,17,2022-04-24,2022-04-30,23.2091,23.0504,22.9231,74.7113,0.091
2022,18,"May 1-7, 2022",0.0,30.0,0.0,0.0,2022-05-01,2022-05-07,2022,18,2022-05-01,2022-05-07,24.8209,24.6631,24.5465,77.8282,0.1246
