year,week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases
2022,1,"January 1-7, 2023",7,830,0,65
2022,2,"January 9-15, 2022",2,33,0,0
2022,3,"January 16-22, 2022",4,37,0,0
2022,4,"January 23-29, 2022",2,37,0,0
2022,5,"January 30-February 5, 2022",1,37,0,0
2022,6,"February 6-12, 2022",1,,0,0
2022,7,"February 13-19, 2022",3,,0,0
2022,8,"February 20-26, 2022",1,,0,0
2022,9,"February 27-March 5, 2022",1,,0,0
2022,10,"March 6-12, 2022",0,,0,0
2022,11,"March 13-19, 2022",3,,0,0
2022,12,"March 20-26, 2022",1,,0,0
2022,13,"March 27-April 2, 2022",0,,0,0
2022,14,"April 3-9, 2022",3,16,0,0
2022,15,"April 10-16, 2022",0,16,0,0
2022,16,"April 17-23, 2022",1,17,0,0
2022,17,"April 24-30, 2022",0,17,0,0
2022,18,"May 1-7, 2022",0,17,0,0
2022,19,"May 8-14, 2022",5,22,0,0
2022,20,"May 15-21, 2022",1,23,0,0
2022,21,"May 22-28, 2022",4,27,0,0
2022,22,"May 29-June 4, 2022",0,27,0,0
2022,23,"June 5-11, 2022",4,31,0,0
2022,24,"June 12-18, 2022",1,32,0,0
2022,25,"June 19-25, 2022",6,38,0,0
2022,26,"June 26-July 2, 2022",1,39,0,0
2022,27,"July 3-9, 2022",4,43,0,0
2022,28,"July 10-16, 2022",19,61,1,
2022,29,"July 17-23, 2022",11,73,0,
2022,30,"July 24-30, 2022",28,100,1,2
2022,31,"July 31-August 6, 2022",37,137,0,2
2022,32,"August 7-13, 2022",35,172,1,3
2022,33,"August 14-20, 2022",44,216,2,5
2022,34,"August 21-27, 2022",34,250,3,8
2022,35,"August 28-September 3, 2022",63,313,6,14
2022,36,"September 4-10, 2022",58,371,0,14
2022,37,"September 11-17, 2022",52,423,5,19
2022,38,"September 18-24, 2022",41,464,3,22
2022,39,"September 25-October 1, 2022",10,474,1,23
2022,40,"October 2-8, 2022",38,512,4,27
2022,41,"October 9-15, 2022",60,572,3,30
2022,42,"October 16-22, 2022",17,589,5,35
2022,43,"October 23-29, 2022",50,639,1,36
2022,44,"October 30-November 5, 2022",25,664,2,38
2022,45,"November 6-12, 2022",15,679,3,41
2022,46,"November 13-19, 2022",23,702,7,48
2022,47,"November 20-26, 2022",5,707,0,48
2022,48,"November 27-December 3, 2022",25,732,1,49
2022,49,"December 4-10, 2022",22,754,6,55
2022,50,"December 11-17, 2022",25,779,4,59
2022,51,"December 18-24, 2022",31,810,4,63
2022,52,"December 25-31, 2022",13,823,2,65
2023,1,"January 1-7, 2023",7,830,0,65
2023,2,"January 8-14, 2023",34,864,3,68
